"META","","","ESTRUCTURAL","","","","","","","LOCACIONAL","","","","","SEGURIDAD","","TCO","","","","","TARGET","",""
"ID Registro","Fuente","Tipo Operación","Tipo Inmueble","Área (m²)","Habitaciones","Baños","Parqueadero","Depósito","Antigüedad (años)","Localidad","UPZ","Estrato","Latitud","Longitud","Hurto Res./100k hab","Índice Seguridad (0-10)","Acueducto+Alcantarillado (COP/mes)","Consumo Energía (kWh/mes)","Energía Eléctrica (COP/mes)","Admin. Mensual (COP)","TCO Mensual Est. (COP)","Precio Venta (COP)","Precio Arriendo (COP/mes)","PRECIO MERCADO (COP) ★"
"SHV-0001","Properati","Venta","Apartamento","194","4","4","Sí","Sí","30","Usaquén","Country Club","6","4.679251","-74.042249","180","5.58","173000","524","542000","2399000","3114000","2302800000","11450000","2302800000"
"SHV-0002","Habi","Venta","Apartamento","73","3","2","Sí","Sí","48","Chapinero","El Refugio","4","4.653463","-74.047528","320","1","87000","190","131000","342000","560000","479400000","2020000","479400000"
"SHV-0003","Habi","Venta","Apartamento","79","3","2","No","No","42","Santa Fe","La Macarena","3","4.612487","-74.076189","290","1.98","46000","162","89000","266000","401000","272900000","1220000","272900000"
"SHV-0004","UAECD-OTC","Venta","Casa","60","3","3","No","No","27","San Cristóbal","20 de Julio","2","4.542133","-74.090236","210","4.6","32000","119","89000","0","121000","132400000","670000","132400000"
"SHV-0005","FincaRaíz","Arriendo","Apartamento","45","2","1","No","No","17","Usme","Alfonso López","1","4.496143","-74.1142","140","6.89","39000","86","33000","41000","113000","84000000","350000","350000"
"SHV-0006","FincaRaíz","Venta","Apartamento","82","3","2","Sí","No","38","Tunjuelito","Tunjuelito","3","4.554331","-74.133932","190","5.25","72000","204","109000","254000","435000","282000000","1650000","282000000"
"SHV-0007","Metrocuadrado","Arriendo","Casa","36","2","2","No","No","9","Bosa","El Porvenir","1","4.62482","-74.204762","160","6.24","17000","94","56000","0","73000","60100000","260000","260000"
"SHV-0008","Habi","Arriendo","Apartamento","51","3","3","Sí","No","43","Kennedy","Américas","3","4.639098","-74.162616","230","3.95","48000","113","68000","150000","266000","199800000","880000","880000"
"SHV-0009","Properati","Venta","Apartamento","130","2","2","No","No","19","Fontibón","Fontibón","4","4.655593","-74.154851","200","4.93","114000","270","121000","545000","780000","758100000","4190000","758100000"
"SHV-0010","FincaRaíz","Venta","Apartamento","76","3","3","No","No","47","Engativá","Minuto de Dios","3","4.702384","-74.11067","175","5.75","54000","166","74000","201000","329000","223900000","940000","223900000"
"SHV-0011","UAECD-OTC","Venta","Casa","66","1","1","Sí","No","22","Suba","Andes","3","4.732904","-74.086585","195","5.09","46000","181","119000","0","165000","279300000","1620000","279300000"
"SHV-0012","Habi","Arriendo","Apartamento","123","3","2","Sí","No","37","Barrios Unidos","Los Andes","4","4.681231","-74.065625","265","2.8","72000","261","160000","565000","797000","872300000","4760000","4760000"
"SHV-0013","FincaRaíz","Venta","Apartamento","99","3","3","Sí","No","50","Teusaquillo","Galerías","4","4.62258","-74.093186","300","1.65","77000","218","176000","457000","710000","544700000","2250000","544700000"
"SHV-0014","UAECD-OTC","Venta","Apartamento","55","2","1","No","No","44","Los Mártires","Ricaurte","2","4.605282","-74.105313","280","2.31","52000","136","65000","28000","145000","134900000","730000","134900000"
"SHV-0015","UAECD-OTC","Arriendo","Apartamento","88","1","1","Sí","No","56","Antonio Nariño","Antonio Nariño","3","4.564495","-74.115115","220","4.27","84000","185","126000","243000","453000","380500000","2000000","2000000"
"SHV-0016","Habi","Venta","Apartamento","97","3","3","No","No","59","Puente Aranda","Ciudad Montes","3","4.638091","-74.115811","245","3.45","65000","165","144000","197000","406000","348800000","1920000","348800000"
"SHV-0017","Metrocuadrado","Venta","Apartamento","52","3","3","Sí","No","60","La Candelaria","La Candelaria","2","4.590789","-74.066415","310","1.33","55000","134","74000","52000","181000","104900000","590000","104900000"
"SHV-0018","Metrocuadrado","Venta","Casa","52","4","4","No","No","24","Rafael Uribe Uribe","Marruecos","2","4.546249","-74.111091","200","4.93","56000","102","78000","0","134000","134800000","730000","134800000"
"SHV-0019","Habi","Arriendo","Apartamento","37","3","2","No","No","30","Ciudad Bolívar","Lucero","1","4.518088","-74.175469","170","5.91","33000","76","60000","20000","113000","70000000","360000","360000"
"SHV-0020","Metrocuadrado","Venta","Apartamento","42","3","3","No","No","29","Sumapaz","Sumapaz","1","4.273584","-74.368616","45","10","35000","84","61000","10000","106000","78900000","370000","78900000"
"SHV-0021","Properati","Arriendo","Apartamento","103","4","4","No","Sí","25","Usaquén","Santa Bárbara","5","4.712103","-74.022653","180","5.58","131000","247","257000","710000","1098000","968600000","5230000","5230000"
"SHV-0022","FincaRaíz","Arriendo","Apartamento","110","3","3","No","Sí","26","Chapinero","Chapinero","4","4.63196","-74.052936","320","1","113000","180","193000","471000","777000","557300000","3300000","3300000"
"SHV-0023","Habi","Venta","Casa","67","3","2","No","Sí","28","Santa Fe","Lourdes","3","4.58993","-74.099529","290","1.98","69000","174","74000","0","143000","214700000","1110000","214700000"
"SHV-0024","Habi","Venta","Apartamento","53","1","1","No","Sí","37","San Cristóbal","La Gloria","2","4.55326","-74.079171","210","4.6","35000","118","72000","75000","182000","119000000","630000","119000000"
"SHV-0025","UAECD-OTC","Venta","Apartamento","48","2","1","No","No","14","Usme","La Flora","2","4.470309","-74.11814","140","6.89","51000","132","82000","69000","202000","123200000","600000","123200000"
"SHV-0026","FincaRaíz","Arriendo","Apartamento","65","4","4","No","No","12","Tunjuelito","Venecia","3","4.564089","-74.128219","190","5.25","55000","168","61000","213000","329000","252700000","1390000","1390000"
"SHV-0027","Metrocuadrado","Arriendo","Apartamento","88","2","2","No","No","16","Bosa","Bosa Occidental","2","4.635328","-74.216632","160","6.24","55000","177","103000","90000","248000","235900000","1410000","1410000"
"SHV-0028","Properati","Arriendo","Apartamento","75","2","2","No","No","26","Kennedy","Carvajal","3","4.609794","-74.140102","230","3.95","42000","156","93000","230000","365000","244500000","1060000","1060000"
"SHV-0029","UAECD-OTC","Venta","Apartamento","73","2","1","No","Sí","21","Fontibón","Modelia","4","4.69486","-74.135817","200","4.93","81000","141","115000","375000","571000","499300000","2200000","499300000"
"SHV-0030","Metrocuadrado","Venta","Apartamento","71","2","1","No","No","29","Engativá","Garcés Navas","3","4.683542","-74.121848","175","5.75","57000","129","121000","227000","405000","256600000","1300000","256600000"
"SHV-0031","Properati","Arriendo","Apartamento","131","4","3","Sí","Sí","4","Suba","Suba","5","4.716295","-74.098412","195","5.09","127000","241","288000","876000","1291000","1195000000","5930000","5930000"
"SHV-0032","Properati","Venta","Casa","66","3","3","Sí","No","5","Barrios Unidos","12 de Octubre","3","4.687977","-74.056964","265","2.8","58000","121","69000","0","127000","307200000","1580000","307200000"
"SHV-0033","Metrocuadrado","Arriendo","Apartamento","131","3","3","Sí","Sí","10","Teusaquillo","Nicolás de Federmán","5","4.651061","-74.101044","300","1.65","156000","315","216000","884000","1256000","1097200000","4500000","4500000"
"SHV-0034","FincaRaíz","Arriendo","Apartamento","59","1","1","No","No","52","Los Mártires","La Sabana","2","4.622961","-74.084933","280","2.31","56000","135","65000","72000","193000","150700000","720000","720000"
"SHV-0035","UAECD-OTC","Venta","Apartamento","36","2","2","Sí","No","27","Antonio Nariño","Antonio Nariño","3","4.583934","-74.079556","220","4.27","42000","133","50000","101000","193000","167800000","870000","167800000"
"SHV-0036","Properati","Arriendo","Casa","36","1","1","No","Sí","60","Puente Aranda","Puente Aranda","3","4.621637","-74.102924","245","3.45","54000","107","48000","0","102000","145700000","750000","750000"
"SHV-0037","Habi","Venta","Casa","57","3","2","No","No","31","La Candelaria","La Candelaria","2","4.601796","-74.054019","310","1.33","45000","145","89000","0","134000","115000000","610000","115000000"
"SHV-0038","FincaRaíz","Venta","Apartamento","61","2","1","No","No","41","Rafael Uribe Uribe","Marruecos","2","4.574548","-74.123908","200","4.93","32000","112","72000","45000","149000","164700000","900000","164700000"
"SHV-0039","Metrocuadrado","Arriendo","Apartamento","52","2","1","No","No","28","Ciudad Bolívar","Tesoro","2","4.526409","-74.185138","170","5.91","27000","104","45000","55000","127000","114800000","610000","610000"
"SHV-0040","Habi","Venta","Casa","59","1","1","No","No","25","Sumapaz","Sumapaz","1","4.251978","-74.363207","45","10","29000","129","49000","26000","104000","91000000","510000","91000000"
"SHV-0041","FincaRaíz","Venta","Casa","73","4","3","Sí","Sí","17","Usaquén","Usaquén","4","4.686972","-74.055293","180","5.58","81000","203","136000","154000","371000","517200000","2720000","517200000"
"SHV-0042","Properati","Venta","Casa","51","1","1","Sí","No","33","Chapinero","Chapinero","3","4.671053","-74.064114","320","1","67000","115","94000","64000","225000","173800000","880000","173800000"
"SHV-0043","Metrocuadrado","Venta","Casa","78","2","2","No","No","3","Santa Fe","Sagrado Corazón","2","4.598526","-74.080864","290","1.98","70000","162","68000","16000","154000","155500000","810000","155500000"
"SHV-0044","FincaRaíz","Arriendo","Casa","59","2","1","No","No","34","San Cristóbal","La Gloria","1","4.554426","-74.073531","210","4.6","26000","137","38000","0","64000","114700000","480000","480000"
"SHV-0045","Habi","Arriendo","Casa","74","1","1","No","No","9","Usme","Gran Yomasa","2","4.481228","-74.120618","140","6.89","46000","160","85000","0","131000","191200000","870000","870000"
"SHV-0046","Habi","Venta","Casa","71","2","2","Sí","No","27","Tunjuelito","Venecia","3","4.546022","-74.160007","190","5.25","74000","163","112000","0","186000","288400000","1460000","288400000"
"SHV-0047","Properati","Venta","Apartamento","50","2","1","No","No","10","Bosa","Bosa Occidental","1","4.618525","-74.191425","160","6.24","25000","97","43000","47000","115000","96100000","550000","96100000"
"SHV-0048","Properati","Venta","Apartamento","59","3","3","No","No","45","Kennedy","Timiza","2","4.605403","-74.17538","230","3.95","39000","150","54000","85000","178000","133900000","720000","133900000"
"SHV-0049","Metrocuadrado","Venta","Apartamento","58","2","2","No","No","36","Fontibón","Aeropuerto","3","4.663353","-74.166449","200","4.93","58000","174","96000","138000","292000","234300000","980000","234300000"
